LIS Test Description,Lab
Quantitative PCR for HBV,Cr
ALT,ALT
Albumin,ALB
Creatinine,Cr
Total Bilirubin,Tb
PLT,PLT
AST,AST
"Bilirubin, total",Tb
GGT,GGT
Anti-HBe:,Hb
HBeAg:,Hb
HBsAg:,Hb
INR(*),INR
Total Bili.,Tb
INR,INR
Alanine Transaminase,ALT
Bilirubin (Total),Tb
Platelet,PLT
ALT (SGPT),ALT
AST (SGOT),AST
Gamma-glutamyltransferase (GGT),GGT
HBsAg,Hb
HBV DNA Viral Load,Hb
Gamma GT,GGT
HBsAg            :,Hb
MHA_PLATELET_X10^9/L,PLT
Alanine Aminotransferase,ALT
"Bilirubin,Total",Tb
Aspartate Aminotransferase,AST
HBsAg :-,Hb
ALT/GPT,ALT
Platelet Count,PLT
MBI_Creatinine_umol/L,Cr
HBV DNA Quantitative,Hb
Anti-HBe,Hb
HBeAg,Hb
Hepatitis B virus DNA Test :-,HBVDNA
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
MBI_Albumin_g/L,ALB
MBI_Total Bilirubin_umol/L,Tb
HBV DNA,Hb
PCR Hepatitis B Virus(S1),Cr
Quantitation for Hepatitis B virus DNA :,HBVDNA
Antibody to Hepatitis B - e antigen (Anti-HBe)                  :,Hb
Hepatitis B - e antigen (HBeAg)                                 :,Hb
Aspartate Transaminase,AST
Serum Creatinine,Cr
Hepatitis B surface antigen (HBsAg)                             :,Hb
HBeAg            :,Hb
Anti-HBe :-,Hb
HBeAg :-,Hb
MPT_INR,INR
GGTP,GGT
Creat (Serum),Cr
INR1,INR
AST/GOT,AST
MBI_Gamma GT_U/L,GGT
Antenatal HBsAg:,Hb
Hepatitis B surface antigen (HBsAg)                               :,Hb
MUR_Serum Creatinine_umol/L,Cr
Interpretation,
Murex HBsAg (Interpretation),Hb
INTERPRETATION,
Fasting Glucose,AST
"MBI_Glucose, Fasting_mmol/L",AST
Glucose fasting,AST
Fasting Plasma Glucose,AST
Glucose (fasting),AST
"Glucose, fasting",AST
"MOG_Glucose, fasting_mmol/L",AST
Glucose Fasting,AST
Glucose (Fasting),AST
Glucose(Fasting),AST
"Glucose, Fasting",AST
"Glucose, Fasting (Whole Blood)",AST
Antibody to Hepatitis C virus (Anti-HCV) :,Anti-HCV
Antibody to Hepatitis C virus (Anti-HCV)                        :,Anti-HCV
Anti-HCV :-,Anti-HCV
Anti-HCV,Anti-HCV
Antibody to Hepatitis C virus (Anti-HCV)                        :,Anti-HCV
Anti-HCV:,Anti-HCV
Anti-HCV :,Anti-HCV
Anti-HCV         :,Anti-HCV
Anti-HCV         :,Anti-HCV
Hepatitis Anti-HCV,Anti-HCV
Interpretation,
Urgent Viral Serology Anti-HCV,Anti-HCV
Ortho HCV INT,Anti-HCV
Antibody to Hepatitis C virus - Confirmatory assay :,Anti-HCV
Antibody to Hepatitis C virus - Confirmatory assay              :,Anti-HCV
ALT,ALT
Alanine Aminotransferase,ALT
ALT (SGPT),ALT
Alanine Transaminase,ALT
ALT/GPT,ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
HBsAg,Hb
HBsAg:,Hb
HBsAg            :,Hb
HBsAg :-,Hb
Hepatitis B surface antigen (HBsAg)                             :,Hb
Hepatitis B Surface Antigen,HBsAg
Hepatitis B surface antigen (HBsAg)                               :,Hb
Hepatitis B surface antigen (HBsAg)                             :,Hb
Urgent Viral Serology HBsAg,Hb
HBsAg            :,Hb
Hepatitis HBsAg,Hb
Hepatitis B surface antigen (HBsAg)                               :,Hb
Murex HBsAg (Interpretation),Hb
Antenatal HBsAg:,Hb
HBSAG (MUREX) IN,Hb
AST,AST
Albumin,ALB
"Bilirubin, total",Tb
Creatinine,Cr
GGT,GGT
INR,INR
PLT,PLT
HBeAg:,Hb
HBsAg:,Hb
ALT,ALT
Total Bilirubin,Tb
